名称,URL,地域
眞田鋼業株式会社,https://www.sanadakogyo.com/index.html,大阪
有限会社金田商事,https://www.kaneda-shouji.co.jp/product/,兵庫
木村金属（大阪）,https://kimura-metal.co.jp/price.html,大阪
明鑫貿易株式会社,https://www.meikinboueki.com/,愛知
北陸商会株式会社,https://www.hokurikushokai.jp/company.php,福井
内田産業株式会社,https://uchidametal.com/,兵庫
東鑫貿易株式会社,https://www.toshintrade.com/,鳥取
東起産業（株）,https://touki-sangyou.co.jp/,香川
土金（大阪）,https://www.dokindokin.com/scrap/,大阪
大畑商事（千葉・大阪）,https://www.ohata.org/kakaku.html,大阪
大商店,https://daishouten.jp/,大阪
千福商会（大阪）,https://www.senfuku.net/scrap,大阪
三禾貿易,http://www.mikaplastic.jp/,大阪
鴻祥貿易株式会社,https://kousyo-boueki.jp/index.html,大阪
広隆商事株式会社,https://www.hirotakashoji.com/,大阪
株式会社鳳山,https://houyama.com/price/,兵庫
株式会社栗田商会,https://kuritasyokai.com/,大阪
株式会社 春日商会　富山支店,https://haruhi-shokai.com/scrap_nonferrous2.html,富山
株式会社 春日商会　滋賀支店,https://haruhi-shokai.com/scrap_nonferrous3.html,滋賀
株式会社 春日商会　一宮本社,https://haruhi-shokai.com/scrap_nonferrous1.html,愛知
安城貿易（愛知）,https://www.anjyo-t.com/,愛知
山下商店,https://tetushigenkan.com/,愛知
日中金属貿易,https://nittyuu.co.jp/,和歌山
東北キング,https://touhokuking.com/index.html,大阪
高橋金属貿易,http://takahashi-metal.com/,大阪
スクラップ価格ドットコム,https://www.super-recycle.com/price_list/,兵庫
シマ金属　株式会社,https://www.shimakinzoku.com/company.html,愛知
佐野重量金属株式会社,https://aipo.xsrv.jp/sanometaru/,滋賀
株式会社八木,https://yagimetal.com/company/company,大阪
株式会社のぞみ金属,https://nozomi-k.jp/,愛知
TST貿易（千葉）,https://in-tst.jp/,千葉
三和金属株式会社,https://www.sanwakinzoku.jp/,沖縄県
（株）ABC,https://abcmetal.jp/,京都
"	有限会社　八尾アルミセンター",https://peraichi.com/landing_pages/view/yaoalumi/,大阪
"	株式会社 ヒラノヤ",https://hiranoyasan.com/,大阪
