名称,地域,URL,価格ページURL数,価格ページURLs
眞田鋼業株式会社,大阪,https://www.sanadakogyo.com/index.html,1,https://www.sanadakogyo.com/scrap_metal.html
有限会社金田商事,兵庫,https://www.kaneda-shouji.co.jp/,1,https://www.kaneda-shouji.co.jp/product#a12
木村金属（大阪）,大阪,https://kimura-metal.co.jp/index.html,1,https://kimura-metal.co.jp/price.html#07-01
明鑫貿易株式会社,愛知,https://www.meikinboueki.com/,1,https://www.meikinboueki.com/
北陸商会株式会社,福井,https://www.hokurikushokai.jp/,2,"https://www.hokurikushokai.jp/kaitoriList.php?catid=2
https://www.hokurikushokai.jp/kaitoriList.php?catid=10"
内田産業株式会社,兵庫,https://uchidametal.com/,2,"https://uchidametal.com/kakaku/dou/
https://uchidametal.com/kak"
東鑫貿易株式会社,鳥取,https://www.toshintrade.com/,1,https://www.toshintrade.com/%E5%85%A8%E5%95%86%E5%93%81%E4%BE%A1%E6%A0%BC%E8%A1%A8
東起産業（株）,香川,https://touki-sangyou.co.jp/,1,https://touki-sangyou.co.jp/
土金（大阪）,大阪,https://www.dokindokin.com/,1,https://www.dokindokin.com/scrap/
大畑商事（千葉・大阪）,大阪,https://www.ohata.org/,1,https://www.ohata.org/kakaku.html
大商店,大阪,https://daishouten.jp/,2,"https://daishouten.jp/product/product_taxo/copper/
https://daishouten.jp/produc"
千福商会（大阪）,大阪,https://www.senfuku.net/,1,https://www.senfuku.net/scrap
三禾貿易,大阪,http://www.mikaplastic.jp/,1,http://www.mikaplastic.jp/list/?ca=2
鴻祥貿易株式会社,大阪,https://kousyo-boueki.jp/index.html,1,https://kousyo-boueki.jp/scrap_nonferrous.html
広隆商事株式会社,大阪,https://www.hirotakashoji.com/,1,https://www.hirotakashoji.com/list#shidhc8s25df1y2k7yf9
株式会社鳳山,兵庫,https://houyama.com/,1,https://houyama.com/price.html
株式会社栗田商会,大阪,https://kuritasyokai.com/,1,https://kuritasyokai.com/
株式会社 春日商会 富山支店,富山,https://haruhi-shokai.com/index.html,1,https://haruhi-shokai.com/scrap_nonferrous2.html
株式会社 春日商会 滋賀支店,滋賀,https://haruhi-shokai.com/index.html,1,https://haruhi-shokai.com/scrap_nonferrous3.html
株式会社 春日商会 一宮本社,愛知,https://haruhi-shokai.com/index.html,1,https://haruhi-shokai.com/scrap_nonferrous1.html
安城貿易（愛知）,愛知,https://www.anjyo-t.com/,1,https://www.anjyo-t.com/scrap_metal.html
山下商店,愛知,https://tetushigenkan.com/,2,"https://tetushigenkan.com/blog/?page_id=38280
https://tetushigenkan.com/b"
日中金属貿易,和歌山,https://nittyuu.co.jp/,1,https://nittyuu.co.jp/
東北キング,大阪,https://touhokuking.com/index.html,2,"https://touhokuking.com/scrap_copper.html
https://touhokuking.com/scrap_nonferrous.html"
高橋金属貿易,大阪,http://takahashi-metal.com/,1,http://takahashi-metal.com/
スクラップ価格ドットコム,兵庫,https://www.super-recycle.com/,1,https://www.super-recycle.com/price_list/
シマ金属 株式会社,愛知,https://www.shimakinzoku.com/company.html,2,"https://www.shimakinzoku.com/items.html
https://www.shimakinzoku.c"
佐野重量金属株式会社,滋賀,https://aipo.xsrv.jp/sanometaru/,2,"https://aipo.xsrv.jp/sanometaru/%e8%b2%b7%e5%8f%96%e5%8d%98%e4%be%a1%e4%b8%80%e8%a6%a7/%e9%8a%85%e5%8d%98%e4%be%a1/
https://aipo.xsrv.jp/sanomet"
株式会社八木,大阪,https://yagimetal.com/,1,https://yagimetal.com/works/service
株式会社のぞみ金属,愛知,https://nozomi-k.jp/,2,"https://nozomi-k.jp/fee/item2/
https://nozomi-k.jp/fee/item"
TST貿易（千葉）,千葉,https://in-tst.jp/,2,"https://in-tst.jp/product/product.php?lang=cn&class2=119
https://in-tst.jp/product/prod"
三和金属株式会社,沖縄県,https://www.sanwakinzoku.jp/,0,
（株）ABC,京都,https://abcmetal.jp/,3,"https://abcmetal.jp/kakaku/hitetsu/dou/
https://abcmetal.jp/kakaku/h
https://abcmet"
有限会社 八尾アルミセンター,大阪,https://peraichi.com/landing_pages/view/yaoalumi/,1,https://peraichi.com/landing_pages/view/yaoalumi/
株式会社 ヒラノヤ,大阪,https://hiranoyasan.com/,1,https://hiranoyasan.com/all-items/
